id,dim0,dim1,dim2,dim3
369,-100.37879,65.794495,61.722057,-142.43689
370,-101.81588,67.669556,57.811363,-141.84946
371,-105.69318,72.82144,46.782265,-140.00221
372,-100.70851,65.63071,63.879116,-143.97842
373,-100.88342,65.65875,64.432396,-144.4718
374,-99.40689,63.31851,70.57782,-146.24297
375,-101.3202,65.868126,65.097595,-145.3107
376,-101.870926,66.45767,64.26234,-145.44968
377,-100.754074,64.62398,69.23745,-146.96869
378,-103.64768,68.588585,60.39058,-145.25208
379,-103.37749,67.97778,62.453808,-146.09134
380,-102.578094,66.60927,66.30295,-147.33675
381,-101.95824,65.51853,69.4396,-148.38586
382,-104.42019,68.85102,62.12174,-147.04018
383,-100.4752,62.95906,76.68633,-150.75438
384,-104.819786,69.00183,62.93979,-147.9226
385,-105.79765,70.19802,60.68857,-147.7478
386,-105.206535,69.12515,63.847984,-148.8406
387,-105.44653,69.25369,64.14408,-149.26343
388,-102.927055,65.414345,73.83883,-151.85124
389,-102.367004,64.39023,76.871475,-152.90814
390,-103.06883,65.1857,75.5799,-152.9606
391,-105.198875,68.04325,69.38058,-151.86877
392,-105.25696,67.929756,70.19579,-152.3792
393,-112.00396,77.23343,49.262108,-148.2089
394,-111.919586,76.91705,50.552376,-148.82552
395,-108.05596,71.32357,63.906723,-151.96378
396,-106.23488,68.48217,71.2551,-154.02138
397,-108.28002,71.21694,65.34847,-152.9981
398,-118.07599,84.59802,35.607475,-147.30142
399,-108.46076,71.0545,66.904564,-154.04819
400,-108.150276,70.39087,69.07879,-154.9047
401,-109.25875,71.76713,66.42248,-154.64923
402,-110.5086,73.35612,63.236008,-154.25616
403,-105.217766,65.53289,82.36425,-159.01515
404,-114.58752,78.64914,52.28527,-152.67065
405,-110.930756,73.32749,65.06675,-155.71887
406,-108.01082,68.908615,76.1444,-158.63127
407,-106.565994,66.619415,82.15385,-160.36218
408,-109.70329,70.92344,72.533455,-158.48537
409,-110.55471,71.92191,70.79458,-158.45459
410,-116.84115,80.53528,51.57386,-154.72484
411,-109.76541,70.36523,75.65155,-160.26408
412,-111.804306,73.07859,69.83014,-159.28079
413,-109.553246,69.6192,78.64153,-161.67493
414,-110.558014,70.86959,76.21884,-161.4352
415,-108.89394,68.25715,83.016045,-163.36064
416,-118.32424,81.40605,53.01068,-157.12222
417,-118.518364,81.4708,53.451836,-157.57492
418,-114.735794,76.0301,66.34373,-160.54727
419,-114.955734,76.131516,66.6993,-160.981
420,-115.21147,76.28919,66.90836,-161.37314
421,-114.91111,75.63718,69.06327,-162.23001
422,-115.98684,76.97839,66.456505,-161.96625
423,-113.759575,73.56323,75.1354,-164.31348
424,-115.291435,75.54775,71.03976,-163.72736
425,-121.07968,83.489204,53.287277,-160.263
426,-121.05816,83.24866,54.438316,-160.8714
427,-108.358406,64.93187,97.979,-170.9919
428,-121.342155,83.25372,55.544823,-161.78674
429,-113.601906,72.07634,82.15225,-167.99356
430,-126.8982,90.515305,40.362274,-159.48099
431,-128.81506,92.943306,35.521564,-158.90356
432,-124.26891,86.504776,50.499275,-162.1924
433,-122.53347,83.87443,57.10392,-163.93472
434,-122.6355,83.81862,57.797733,-164.42618
435,-116.75494,75.310265,78.09711,-169.18822
436,-125.049255,86.78122,52.18966,-163.96661
437,-124.88603,86.341896,53.797775,-164.67215
438,-130.50708,93.90561,37.320824,-161.72647
439,-127.46596,89.58081,47.431557,-163.97673
440,-120.89066,80.19678,69.4632,-168.93588
441,-126.494125,87.78161,52.807564,-165.87308
442,-126.173164,87.15069,54.771824,-166.60297
443,-115.7214,72.11624,90.39927,-174.81894
444,-126.51356,87.26235,55.555065,-167.40207
